ROUTE,LATITUDE,LONGITUDE
I 80,41.24789403,-111.0467118
I 80,41.24746145,-111.0455124
I 80,41.24733395,-111.0451337
I 80,41.24726205,-111.044904
I 80,41.24713975,-111.0444827
I 80,41.2470464,-111.0441294
I 80,41.24696205,-111.0437828
I 80,41.2468743,-111.0433846
I 80,41.2467851,-111.0429246
I 80,41.24671035,-111.0424874
I 80,41.2466635,-111.0421701
I 80,41.2466055,-111.0417009
I 80,41.246563,-111.04127
I 80,41.2465291,-111.0408273
I 80,41.2465066,-111.040393
I 80,41.2464975,-111.0400675
I 80,41.2464935,-111.039619
I 80,41.24649845,-111.0386768
I 80,41.24654725,-111.0336544
I 80,41.24658565,-111.0291421
I 80,41.24662975,-111.0246122
I 80,41.24664005,-111.0240549
I 80,41.2466571,-111.0235101
I 80,41.24669845,-111.0226432
I 80,41.24673995,-111.0220209
I 80,41.24679795,-111.0213202
I 80,41.2468808,-111.0205003
I 80,41.24698845,-111.019614
I 80,41.24707315,-111.0190085
I 80,41.2471744,-111.0183644
I 80,41.24732715,-111.0175076
I 80,41.2474308,-111.0169787
I 80,41.24754895,-111.0164117
I 80,41.2476388,-111.0160097
I 80,41.24776855,-111.0154613
I 80,41.24788445,-111.0149964
I 80,41.2480048,-111.0145427
I 80,41.24814795,-111.0140276
I 80,41.24830125,-111.013505
I 80,41.24847505,-111.0129438
I 80,41.2486193,-111.0124967
I 80,41.24877605,-111.0120336
I 80,41.248954,-111.0115322
I 80,41.24913445,-111.0110445
I 80,41.24931495,-111.0105777
I 80,41.249513,-111.010087
I 80,41.249738,-111.0095502
I 80,41.24994945,-111.0090677
I 80,41.2502039,-111.008516
I 80,41.26091767,-110.9857328
I 80,41.26139475,-110.9847144
I 80,41.26163725,-110.9841811
I 80,41.2617585,-110.9838931
I 80,41.2618587,-110.9836332
I 80,41.26193725,-110.9834065
I 80,41.26204595,-110.9830529
I 80,41.2621226,-110.9827638
I 80,41.26218495,-110.9824932
I 80,41.262244,-110.9821915
I 80,41.26229715,-110.9818584
I 80,41.26233285,-110.9815687
I 80,41.26236185,-110.981233
I 80,41.26237725,-110.9809276
I 80,41.26238235,-110.9806385
I 80,41.26237745,-110.9802974
I 80,41.2623602,-110.9799574
I 80,41.26233395,-110.9796519
I 80,41.26230025,-110.9793668
I 80,41.2622629,-110.97912
I 80,41.2622012,-110.9787852
I 80,41.2621388,-110.9785043
I 80,41.2620744,-110.9782532
I 80,41.2619598,-110.9778712
I 80,41.2619031,-110.9777026
I 80,41.26180935,-110.9774475
I 80,41.26171145,-110.9772062
I 80,41.2616294,-110.9770185
I 80,41.2614657,-110.976681
I 80,41.26132295,-110.9764163
I 80,41.26110085,-110.9760362
I 80,41.2607744,-110.9755057
I 80,41.2601783,-110.9745573
I 80,41.2598915,-110.9740805
I 80,41.2597721,-110.9738682
I 80,41.2596015,-110.9735417
I 80,41.25943,-110.9731847
I 80,41.25930485,-110.972903
I 80,41.2591566,-110.9725432
I 80,41.2589894,-110.9720977
I 80,41.25886385,-110.9717238
I 80,41.25872425,-110.971261
I 80,41.25862845,-110.9709026
I 80,41.25851215,-110.9704026
I 80,41.2584406,-110.9700377
I 80,41.25838495,-110.9697049
I 80,41.2583269,-110.9692943
I 80,41.258286,-110.9689402
I 80,41.25825375,-110.9685849
I 80,41.25823255,-110.9682659
I 80,41.2582178,-110.9679328
I 80,41.25820885,-110.9674736
I 80,41.25821044,-110.9672747
I 80,41.25821165,-110.9671234
I 80,41.2582236,-110.9667668
I 80,41.25824115,-110.9664774
I 80,41.25826915,-110.9661417
I 80,41.25847425,-110.9640735
I 80,41.2586738,-110.9621294
I 80,41.25870925,-110.9618123
I 80,41.25875555,-110.9614521
I 80,41.2588124,-110.961081
I 80,41.2588915,-110.9606435
I 80,41.25897105,-110.9602675
I 80,41.25905495,-110.9599168
I 80,41.2591259,-110.9596491
I 80,41.2592343,-110.9592806
I 80,41.25933385,-110.9589741
I 80,41.2594855,-110.9585512
I 80,41.25961805,-110.958215
I 80,41.25974845,-110.9579087
I 80,41.2599491,-110.9574765
