ROUTE,DIRECTION,LATITUDE,LONGITUDE
I 80,Eastbound,41.24762871,-111.046712
I 80,Eastbound,41.2474239,-111.0461467
I 80,Eastbound,41.247251,-111.0456566
I 80,Eastbound,41.2471524,-111.045363
I 80,Eastbound,41.2470787,-111.0451325
I 80,Eastbound,41.2470098,-111.0449056
I 80,Eastbound,41.2469232,-111.0446019
I 80,Eastbound,41.2468531,-111.0443351
I 80,Eastbound,41.2467839,-111.0440535
I 80,Eastbound,41.2467448,-111.0438831
I 80,Eastbound,41.2467143,-111.0437484
I 80,Eastbound,41.2466544,-111.043468
I 80,Eastbound,41.2466003,-111.0431961
I 80,Eastbound,41.2465472,-111.0429057
I 80,Eastbound,41.2464943,-111.0425869
I 80,Eastbound,41.2464477,-111.0422754
I 80,Eastbound,41.2464136,-111.0420202
I 80,Eastbound,41.2463815,-111.041744
I 80,Eastbound,41.246355,-111.0414815
I 80,Eastbound,41.24628717,-111.0405217
I 80,Eastbound,41.2462761,-111.0402065
I 80,Eastbound,41.246271,-111.0399457
I 80,Eastbound,41.2462686,-111.0396545
I 80,Eastbound,41.2462691,-111.0393348
I 80,Eastbound,41.2462712,-111.0390432
I 80,Eastbound,41.2462798,-111.0380735
I 80,Eastbound,41.2462892,-111.0371983
I 80,Eastbound,41.2462961,-111.0363303
I 80,Eastbound,41.2463268,-111.0332727
I 80,Eastbound,41.2463477,-111.0309269
I 80,Eastbound,41.2463618,-111.029127
I 80,Eastbound,41.2463912,-111.0264208
I 80,Eastbound,41.2463985,-111.0255148
I 80,Eastbound,41.2464081,-111.0246492
I 80,Eastbound,41.2464171,-111.0241394
I 80,Eastbound,41.246429,-111.0237058
I 80,Eastbound,41.2464404,-111.0233881
I 80,Eastbound,41.2464575,-111.0230013
I 80,Eastbound,41.2464833,-111.0225283
I 80,Eastbound,41.2465043,-111.0222015
I 80,Eastbound,41.2465247,-111.0219217
I 80,Eastbound,41.2465732,-111.0213358
I 80,Eastbound,41.246599,-111.021057
I 80,Eastbound,41.2466311,-111.0207324
I 80,Eastbound,41.246664,-111.0204262
I 80,Eastbound,41.2466981,-111.0201301
I 80,Eastbound,41.2467331,-111.0198432
I 80,Eastbound,41.2467652,-111.0195935
I 80,Eastbound,41.2468128,-111.0192425
I 80,Eastbound,41.2468588,-111.0189283
I 80,Eastbound,41.2469375,-111.0184234
I 80,Eastbound,41.2469951,-111.018075
I 80,Eastbound,41.2470427,-111.0178007
I 80,Eastbound,41.2470942,-111.0175179
I 80,Eastbound,41.247155,-111.0171994
I 80,Eastbound,41.2472128,-111.0169088
I 80,Eastbound,41.2472686,-111.0166371
I 80,Eastbound,41.2473334,-111.01633
I 80,Eastbound,41.2473632,-111.0161948
I 80,Eastbound,41.247395,-111.0160507
I 80,Eastbound,41.2474654,-111.0157448
I 80,Eastbound,41.2475983,-111.0151899
I 80,Eastbound,41.2476779,-111.0148788
I 80,Eastbound,41.2478231,-111.0143385
I 80,Eastbound,41.2479089,-111.0140268
I 80,Eastbound,41.2479807,-111.0137734
I 80,Eastbound,41.2480684,-111.0134744
I 80,Eastbound,41.2481542,-111.0131926
I 80,Eastbound,41.24833,-111.0126347
I 80,Eastbound,41.2484174,-111.012365
I 80,Eastbound,41.2485041,-111.0121053
I 80,Eastbound,41.248608,-111.0118029
I 80,Eastbound,41.2486981,-111.0115478
I 80,Eastbound,41.2487914,-111.0112912
I 80,Eastbound,41.2489507,-111.0108674
I 80,Eastbound,41.2491142,-111.0104461
I 80,Eastbound,41.2492182,-111.0101868
I 80,Eastbound,41.2493203,-111.0099372
I 80,Eastbound,41.2495449,-111.0093993
I 80,Eastbound,41.2496654,-111.0091198
I 80,Eastbound,41.2497777,-111.0088667
I 80,Eastbound,41.2498851,-111.008631
I 80,Eastbound,41.2500159,-111.0083497
I 80,Eastbound,41.2504962,-111.0073332
I 80,Eastbound,41.2510952,-111.0060546
I 80,Eastbound,41.2513306,-111.0055576
I 80,Eastbound,41.2518061,-111.0045449
I 80,Eastbound,41.2521651,-111.0037857
I 80,Eastbound,41.2526666,-111.0027113
I 80,Eastbound,41.2532722,-111.0014283
I 80,Eastbound,41.2537188,-111.0004762
I 80,Eastbound,41.2541265,-110.9996163
I 80,Eastbound,41.2555188,-110.996649
I 80,Eastbound,41.2558855,-110.9958737
I 80,Eastbound,41.2568059,-110.9939106
I 80,Eastbound,41.2569577,-110.9935888
I 80,Eastbound,41.2571583,-110.9931636
I 80,Eastbound,41.2571583,-110.9931636
I 80,Eastbound,41.25760691,-110.9922099
I 80,Eastbound,41.25786803,-110.9916547
I 80,Eastbound,41.2585641,-110.9901749
I 80,Eastbound,41.258941,-110.9893702
I 80,Eastbound,41.2600182,-110.9870827
I 80,Eastbound,41.2604169,-110.9862302
I 80,Eastbound,41.2606047,-110.9858334
I 80,Eastbound,41.2606047,-110.9858334
I 80,Eastbound,41.2608185,-110.9853836
I 80,Eastbound,41.2610199,-110.9849558
I 80,Eastbound,41.261204,-110.9845613
I 80,Eastbound,41.2613318,-110.984282
I 80,Eastbound,41.2614392,-110.9840408
I 80,Eastbound,41.2615499,-110.9837803
I 80,Eastbound,41.2616478,-110.9835307
I 80,Eastbound,41.2617501,-110.9832425
I 80,Eastbound,41.2618342,-110.982974
I 80,Eastbound,41.2618541,-110.9829038
I 80,Eastbound,41.2619187,-110.9826656
I 80,Eastbound,41.2619819,-110.982397
I 80,Eastbound,41.262044,-110.982088
I 80,Eastbound,41.262092,-110.9818024
I 80,Eastbound,41.2621304,-110.9815137
I 80,Eastbound,41.2621611,-110.9811945
I 80,Eastbound,41.26216502,-110.9811303
I 80,Eastbound,41.262179,-110.9809015
I 80,Eastbound,41.2621866,-110.9806549
I 80,Eastbound,41.2621884,-110.9805796
I 80,Eastbound,41.2621887,-110.9802941
I 80,Eastbound,41.2621778,-110.9799715
I 80,Eastbound,41.2621578,-110.9796782
I 80,Eastbound,41.2621288,-110.9793958
I 80,Eastbound,41.262086,-110.9790777
I 80,Eastbound,41.2620395,-110.9787994
I 80,Eastbound,41.261997,-110.9785885
I 80,Eastbound,41.2619566,-110.9784066
I 80,Eastbound,41.2619566,-110.9784066
I 80,Eastbound,41.2619089,-110.9782081
I 80,Eastbound,41.2618345,-110.9779416
I 80,Eastbound,41.261737,-110.9776359
I 80,Eastbound,41.2616414,-110.9773708
I 80,Eastbound,41.261541,-110.9771195
I 80,Eastbound,41.2614186,-110.9768412
I 80,Eastbound,41.2612862,-110.9765717
I 80,Eastbound,41.2611582,-110.976333
I 80,Eastbound,41.2610285,-110.976108
I 80,Eastbound,41.2608774,-110.9758571
I 80,Eastbound,41.2607377,-110.97563
I 80,Eastbound,41.2601465,-110.9746828
I 80,Eastbound,41.2600066,-110.9744564
I 80,Eastbound,41.2598861,-110.9742575
I 80,Eastbound,41.2597383,-110.9740019
I 80,Eastbound,41.2595972,-110.9737397
I 80,Eastbound,41.2594627,-110.9734711
I 80,Eastbound,41.2593456,-110.9732212
I 80,Eastbound,41.2592339,-110.9729671
I 80,Eastbound,41.25912,-110.9726928
I 80,Eastbound,41.2590169,-110.972432
I 80,Eastbound,41.2589126,-110.9721504
I 80,Eastbound,41.2588202,-110.9718824
I 80,Eastbound,41.2587336,-110.9716103
I 80,Eastbound,41.2586453,-110.9713105
I 80,Eastbound,41.2585727,-110.9710426
I 80,Eastbound,41.2584949,-110.970727
I 80,Eastbound,41.2584319,-110.9704455
I 80,Eastbound,41.2583769,-110.970171
I 80,Eastbound,41.2583214,-110.9698581
I 80,Eastbound,41.2582782,-110.9695795
I 80,Eastbound,41.2582358,-110.9692622
I 80,Eastbound,41.2582031,-110.9689713
I 80,Eastbound,41.2581761,-110.9686796
I 80,Eastbound,41.2581556,-110.9683966
I 80,Eastbound,41.2581384,-110.9680756
I 80,Eastbound,41.2581284,-110.9677827
I 80,Eastbound,41.2581233,-110.9674611
I 80,Eastbound,41.2581243,-110.9672728
I 80,Eastbound,41.2581248,-110.967168
I 80,Eastbound,41.2581248,-110.967168
I 80,Eastbound,41.2581339,-110.966847
I 80,Eastbound,41.2581494,-110.9665548
I 80,Eastbound,41.2581712,-110.9662636
I 80,Eastbound,41.2581998,-110.9659452
I 80,Eastbound,41.2582281,-110.9656553
I 80,Eastbound,41.2583379,-110.9645804
I 80,Eastbound,41.258466,-110.9632905
I 80,Eastbound,41.2585876,-110.9621098
I 80,Eastbound,41.2586218,-110.961796
I 80,Eastbound,41.2586538,-110.9615403
I 80,Eastbound,41.2586991,-110.9612286
I 80,Eastbound,41.258752,-110.9609104
I 80,Eastbound,41.25876687,-110.9608312
I 80,Eastbound,41.2588062,-110.9606218
I 80,Eastbound,41.2588192,-110.9605591
I 80,Eastbound,41.258862,-110.9603531
I 80,Eastbound,41.2589265,-110.9600691
I 80,Eastbound,41.2590017,-110.9597696
I 80,Eastbound,41.2590754,-110.9594999
I 80,Eastbound,41.2591545,-110.9592323
I 80,Eastbound,41.259242,-110.9589595
I 80,Eastbound,41.2593451,-110.958665
I 80,Eastbound,41.2594421,-110.9584079
I 80,Eastbound,41.2594692,-110.9583404
I 80,Eastbound,41.2594692,-110.9583404
I 80,Eastbound,41.2595435,-110.9581545
I 80,Eastbound,41.2596497,-110.9579037
I 80,Eastbound,41.2597603,-110.957657
I 80,Eastbound,41.2598913,-110.9573818
I 80,Eastbound,41.260012,-110.9571429
I 80,Eastbound,41.2601379,-110.9569082
I 80,Eastbound,41.2602859,-110.9566479
I 80,Eastbound,41.2604213,-110.9564226
I 80,Eastbound,41.2605756,-110.95618
I 80,Eastbound,41.2607218,-110.9559634
I 80,Eastbound,41.2608725,-110.9557527
I 80,Eastbound,41.2610077,-110.9555726
I 80,Eastbound,41.2611873,-110.9553435
I 80,Eastbound,41.2613666,-110.9551276
I 80,Eastbound,41.2615295,-110.9549426
I 80,Eastbound,41.2617186,-110.954741
I 80,Eastbound,41.2618947,-110.954563
I 80,Eastbound,41.26206902,-110.9543949
I 80,Eastbound,41.26214865,-110.9543216
I 80,Eastbound,41.26214865,-110.9543216
I 80,Eastbound,41.2622685,-110.9542121
I 80,Eastbound,41.262455,-110.9540526
I 80,Eastbound,41.2626707,-110.9538802
I 80,Eastbound,41.262849,-110.953745
I 80,Eastbound,41.2630683,-110.9535855
I 80,Eastbound,41.2634829,-110.9532901
I 80,Eastbound,41.2640753,-110.952864
I 80,Eastbound,41.2642697,-110.952722
I 80,Eastbound,41.2644623,-110.9525775
I 80,Eastbound,41.26461255,-110.9524597
I 80,Eastbound,41.2646592,-110.9524231
I 80,Eastbound,41.2648461,-110.9522664
I 80,Eastbound,41.2650523,-110.95208
I 80,Eastbound,41.2652289,-110.9519063
I 80,Eastbound,41.2653991,-110.9517233
I 80,Eastbound,41.2655207,-110.9515811
I 80,Eastbound,41.2655207,-110.9515811
I 80,Eastbound,41.26558051,-110.9515102
I 80,Eastbound,41.2657395,-110.9513044
I 80,Eastbound,41.2658827,-110.9511001
I 80,Eastbound,41.2660287,-110.950875
I 80,Eastbound,41.2661462,-110.9506787
I 80,Eastbound,41.2661807,-110.9506195
I 80,Eastbound,41.2663068,-110.9503865
I 80,Eastbound,41.2664223,-110.9501539
I 80,Eastbound,41.2665229,-110.9499325
I 80,Eastbound,41.2665515,-110.9498669
I 80,Eastbound,41.2666514,-110.9496215
I 80,Eastbound,41.2667498,-110.9493547
I 80,Eastbound,41.2668372,-110.9490912
I 80,Eastbound,41.2669225,-110.9487957
I 80,Eastbound,41.2669924,-110.9485137
I 80,Eastbound,41.2670491,-110.9482453
I 80,Eastbound,41.2671067,-110.9479196
I 80,Eastbound,41.2671489,-110.9476455
I 80,Eastbound,41.2671832,-110.9473898
I 80,Eastbound,41.2672203,-110.9470757
I 80,Eastbound,41.2672859,-110.9464718
I 80,Eastbound,41.2674116,-110.9452564
I 80,Eastbound,41.26742431,-110.9451379
I 80,Eastbound,41.2675046,-110.944389
I 80,Eastbound,41.26752131,-110.9442282
I 80,Eastbound,41.2675608,-110.9438483
I 80,Eastbound,41.2675608,-110.9438483
I 80,Eastbound,41.2676262,-110.9432054
I 80,Eastbound,41.2676555,-110.9428878
I 80,Eastbound,41.26766815,-110.9427398
I 80,Eastbound,41.2676795,-110.9426071
I 80,Eastbound,41.267728,-110.9419887
I 80,Eastbound,41.2677506,-110.9416601
I 80,Eastbound,41.2677831,-110.9411245
I 80,Eastbound,41.267801,-110.9407955
I 80,Eastbound,41.2678163,-110.9404758
I 80,Eastbound,41.2678283,-110.9401845
I 80,Eastbound,41.2678397,-110.9398652
I 80,Eastbound,41.2678567,-110.9392843
I 80,Eastbound,41.2678631,-110.938994
I 80,Eastbound,41.26786697,-110.9385706
I 80,Eastbound,41.26786697,-110.9385706
I 80,Eastbound,41.2678681,-110.9381335
I 80,Eastbound,41.2678672,-110.9375222
I 80,Eastbound,41.2678647,-110.9371932
I 80,Eastbound,41.2678591,-110.9368734
I 80,Eastbound,41.2678412,-110.9362615
I 80,Eastbound,41.2678222,-110.9357178
I 80,Eastbound,41.2678067,-110.9353614
I 80,Eastbound,41.2677905,-110.9350415
I 80,Eastbound,41.267776,-110.9347822
I 80,Eastbound,41.2677577,-110.934493
I 80,Eastbound,41.2677385,-110.9342168
I 80,Eastbound,41.26769026,-110.9335903
I 80,Eastbound,41.2676678,-110.9333173
I 80,Eastbound,41.2676342,-110.9329396
I 80,Eastbound,41.2675858,-110.932418
I 80,Eastbound,41.267525,-110.9318159
I 80,Eastbound,41.2674643,-110.9312418
I 80,Eastbound,41.2674643,-110.9312418
I 80,Eastbound,41.26721111,-110.9288165
I 80,Eastbound,41.2671769,-110.9284888
I 80,Eastbound,41.266918,-110.9259878
I 80,Eastbound,41.2668715,-110.9255601
I 80,Eastbound,41.2668341,-110.9252341
I 80,Eastbound,41.2667711,-110.9247072
I 80,Eastbound,41.2667351,-110.9244208
I 80,Eastbound,41.2665746,-110.9231747
I 80,Eastbound,41.2664608,-110.9223167
I 80,Eastbound,41.2663473,-110.9213988
I 80,Eastbound,41.2663136,-110.9211412
I 80,Eastbound,41.266274,-110.9208644
I 80,Eastbound,41.2662243,-110.9205426
I 80,Eastbound,41.2661156,-110.9198819
I 80,Eastbound,41.2660302,-110.9193779
I 80,Eastbound,41.2659738,-110.9190576
I 80,Eastbound,41.2657649,-110.9179104
I 80,Eastbound,41.2655662,-110.916857
I 80,Eastbound,41.2652729,-110.9152795
I 80,Eastbound,41.2647574,-110.9125364
I 80,Eastbound,41.2640728,-110.9088803
I 80,Eastbound,41.2638005,-110.9074416
I 80,Eastbound,41.2630914,-110.9036676
I 80,Eastbound,41.262963,-110.9029769
I 80,Eastbound,41.2628213,-110.9022029
I 80,Eastbound,41.2627704,-110.9019199
I 80,Eastbound,41.2627214,-110.901636
I 80,Eastbound,41.2626697,-110.901324
I 80,Eastbound,41.2626243,-110.901039
I 80,Eastbound,41.2625352,-110.9004486
I 80,Eastbound,41.2624892,-110.9001249
I 80,Eastbound,41.26245,-110.8998376
I 80,Eastbound,41.2623936,-110.8994023
I 80,Eastbound,41.2623409,-110.8989753
I 80,Eastbound,41.2622729,-110.898381
I 80,Eastbound,41.2622386,-110.8980554
I 80,Eastbound,41.2622141,-110.8978058
I 80,Eastbound,41.2621556,-110.897162
I 80,Eastbound,41.2621269,-110.8968739
I 80,Eastbound,41.2620564,-110.8962625
I 80,Eastbound,41.2620308,-110.895974
I 80,Eastbound,41.2620128,-110.8956933
I 80,Eastbound,41.2619827,-110.8950831
I 80,Eastbound,41.2619579,-110.8944714
I 80,Eastbound,41.2619483,-110.894189
I 80,Eastbound,41.2619395,-110.8938596
I 80,Eastbound,41.2619294,-110.8933147
I 80,Eastbound,41.2619258,-110.8929839
I 80,Eastbound,41.26192435,-110.8927341
I 80,Eastbound,41.2619249,-110.8924081
I 80,Eastbound,41.2619305,-110.8917648
I 80,Eastbound,41.2619351,-110.8914412
I 80,Eastbound,41.2619413,-110.8911517
I 80,Eastbound,41.2619498,-110.8908602
I 80,Eastbound,41.2619609,-110.8905424
I 80,Eastbound,41.2619809,-110.8900513
I 80,Eastbound,41.2619976,-110.8896849
