ROUTE,DIRECTION,LATITUDE,LONGITUDE
I 80,Westbound,41.2481588,-111.0467115
I 80,Westbound,41.2477058,-111.0454641
I 80,Westbound,41.2476257,-111.0452373
I 80,Westbound,41.2475455,-111.0449981
I 80,Westbound,41.2474639,-111.0447364
I 80,Westbound,41.2473963,-111.0445062
I 80,Westbound,41.2473264,-111.0442565
I 80,Westbound,41.2472643,-111.0440235
I 80,Westbound,41.2472027,-111.0437801
I 80,Westbound,41.247132,-111.0434785
I 80,Westbound,41.2470784,-111.0432265
I 80,Westbound,41.2470294,-111.0429773
I 80,Westbound,41.2469728,-111.0426664
I 80,Westbound,41.2469306,-111.0424153
I 80,Westbound,41.2468923,-111.0421594
I 80,Westbound,41.2468504,-111.0418415
I 80,Westbound,41.2468181,-111.0415567
I 80,Westbound,41.2468076,-111.0414516
I 80,Westbound,41.2467863,-111.0412316
I 80,Westbound,41.2467629,-111.040952
I 80,Westbound,41.2467438,-111.0406625
I 80,Westbound,41.2467297,-111.0403635
I 80,Westbound,41.2467212,-111.0400444
I 80,Westbound,41.2467184,-111.039753
I 80,Westbound,41.2467186,-111.0394326
I 80,Westbound,41.2467258,-111.0382812
I 80,Westbound,41.2467322,-111.0376586
I 80,Westbound,41.2467448,-111.0367258
I 80,Westbound,41.2467574,-111.0349166
I 80,Westbound,41.246771,-111.0337346
I 80,Westbound,41.2467831,-111.0319649
I 80,Westbound,41.2467929,-111.0307762
I 80,Westbound,41.24682,-111.0281364
I 80,Westbound,41.2468296,-111.0268481
I 80,Westbound,41.2468492,-111.0247549
I 80,Westbound,41.2468528,-111.0244629
I 80,Westbound,41.2468586,-111.0241519
I 80,Westbound,41.2468663,-111.0238597
I 80,Westbound,41.2468776,-111.0235294
I 80,Westbound,41.246897,-111.0230877
I 80,Westbound,41.2469195,-111.0226553
I 80,Westbound,41.2469396,-111.0223363
I 80,Westbound,41.24696,-111.0220549
I 80,Westbound,41.2469978,-111.0215857
I 80,Westbound,41.2470367,-111.0211543
I 80,Westbound,41.247069,-111.020836
I 80,Westbound,41.2471007,-111.0205463
I 80,Westbound,41.2471647,-111.020006
I 80,Westbound,41.2472081,-111.0196621
I 80,Westbound,41.2472469,-111.0193747
I 80,Westbound,41.2472918,-111.0190602
I 80,Westbound,41.2473351,-111.0187742
I 80,Westbound,41.2473888,-111.0184429
I 80,Westbound,41.2474365,-111.0181674
I 80,Westbound,41.2474746,-111.017956
I 80,Westbound,41.2475464,-111.0175701
I 80,Westbound,41.2476013,-111.0172861
I 80,Westbound,41.2477198,-111.0167024
I 80,Westbound,41.24778,-111.0164207
I 80,Westbound,41.2478269,-111.0162123
I 80,Westbound,41.2479237,-111.015797
I 80,Westbound,41.2480573,-111.0152486
I 80,Westbound,41.2481254,-111.0149795
I 80,Westbound,41.248187,-111.0147458
I 80,Westbound,41.2482813,-111.0144009
I 80,Westbound,41.2483566,-111.0141357
I 80,Westbound,41.2484438,-111.0138364
I 80,Westbound,41.2485251,-111.0135646
I 80,Westbound,41.248608,-111.0132938
I 80,Westbound,41.2486923,-111.0130252
I 80,Westbound,41.2487675,-111.0127916
I 80,Westbound,41.2488986,-111.0123974
I 80,Westbound,41.2489745,-111.0121762
I 80,Westbound,41.2490666,-111.0119142
I 80,Westbound,41.2492546,-111.0113945
I 80,Westbound,41.2493536,-111.0111281
I 80,Westbound,41.2494619,-111.0108456
I 80,Westbound,41.2495662,-111.0105816
I 80,Westbound,41.2496687,-111.0103268
I 80,Westbound,41.2497974,-111.0100154
I 80,Westbound,41.2498893,-111.0097978
I 80,Westbound,41.2499867,-111.0095721
I 80,Westbound,41.2501067,-111.0093002
I 80,Westbound,41.2502335,-111.0090214
I 80,Westbound,41.2503474,-111.0087769
I 80,Westbound,41.2509243,-111.0075465
I 80,Westbound,41.2515401,-111.006239
I 80,Westbound,41.2519289,-111.0054081
I 80,Westbound,41.2523631,-111.0044904
I 80,Westbound,41.2526212,-111.0039385
I 80,Westbound,41.2531132,-111.002895
I 80,Westbound,41.2540606,-111.000873
I 80,Westbound,41.2546502,-110.999626
I 80,Westbound,41.2549944,-110.9988893
I 80,Westbound,41.2554869,-110.9978445
I 80,Westbound,41.2569127,-110.9948074
I 80,Westbound,41.2578661,-110.9927844
I 80,Westbound,41.25803603,-110.9924215
I 80,Westbound,41.2581092,-110.9922652
I 80,Westbound,41.2584673,-110.9915071
I 80,Westbound,41.2589724,-110.9904259
I 80,Westbound,41.2589724,-110.9904259
I 80,Westbound,41.2596531,-110.9889775
I 80,Westbound,41.25984744,-110.9885654
I 80,Westbound,41.2601547,-110.9879139
I 80,Westbound,41.2607452,-110.9866539
I 80,Westbound,41.26122637,-110.9856388
I 80,Westbound,41.26122637,-110.9856388
I 80,Westbound,41.2617284,-110.9845595
I 80,Westbound,41.2618353,-110.9843215
I 80,Westbound,41.261957,-110.9840311
I 80,Westbound,41.2620569,-110.9837691
I 80,Westbound,41.262148,-110.9835019
I 80,Westbound,41.2621667,-110.9834404
I 80,Westbound,41.2622356,-110.9832116
I 80,Westbound,41.2623096,-110.9829346
I 80,Westbound,41.2623749,-110.9826536
I 80,Westbound,41.262437,-110.9823418
I 80,Westbound,41.2624842,-110.9820546
I 80,Westbound,41.2625246,-110.9817367
I 80,Westbound,41.262552,-110.9814454
I 80,Westbound,41.2625688,-110.9811707
